Winner,Year,Wins,Cumulative Wins
Ravens,1975,0.0,0.0
Ravens,1976,0.0,0.0
Ravens,1977,0.0,0.0
Ravens,1978,0.0,0.0
Ravens,1979,0.0,0.0
Ravens,1980,0.0,0.0
Ravens,1981,0.0,0.0
Ravens,1982,0.0,0.0
Ravens,1983,0.0,0.0
Ravens,1984,0.0,0.0
Ravens,1985,0.0,0.0
Ravens,1986,0.0,0.0
Ravens,1987,0.0,0.0
Ravens,1988,0.0,0.0
Ravens,1989,0.0,0.0
Ravens,1990,0.0,0.0
Ravens,1991,0.0,0.0
Ravens,1992,0.0,0.0
Ravens,1993,0.0,0.0
Ravens,1994,0.0,0.0
Ravens,1995,0.0,0.0
Ravens,1996,0.0,0.0
Ravens,1997,0.0,0.0
Ravens,1998,0.0,0.0
Ravens,1999,0.0,0.0
Ravens,2000,0.0,0.0
Ravens,2001,1.0,1.0
Ravens,2002,0.0,1.0
Ravens,2003,0.0,1.0
Ravens,2004,0.0,1.0
Ravens,2005,0.0,1.0
Ravens,2006,0.0,1.0
Ravens,2007,0.0,1.0
Ravens,2008,0.0,1.0
Ravens,2009,0.0,1.0
Ravens,2010,0.0,1.0
Ravens,2011,0.0,1.0
Ravens,2012,0.0,1.0
Ravens,2013,1.0,2.0
Ravens,2014,0.0,2.0
Ravens,2015,0.0,2.0
Ravens,2016,0.0,2.0
Ravens,2017,0.0,2.0
Ravens,2018,0.0,2.0
